DATE_SK,FULL_DATE,YEAR,MONTH,DAY
145,2022-05-25,2022,5,25
146,2022-05-26,2022,5,26
147,2022-05-27,2022,5,27
148,2022-05-28,2022,5,28
149,2022-05-29,2022,5,29
150,2022-05-30,2022,5,30
151,2022-05-31,2022,5,31
152,2022-06-01,2022,6,1
153,2022-06-02,2022,6,2
154,2022-06-03,2022,6,3
155,2022-06-04,2022,6,4
156,2022-06-05,2022,6,5
157,2022-06-06,2022,6,6
158,2022-06-07,2022,6,7
159,2022-06-08,2022,6,8
160,2022-06-09,2022,6,9
161,2022-06-10,2022,6,10
162,2022-06-11,2022,6,11
163,2022-06-12,2022,6,12
164,2022-06-13,2022,6,13
165,2022-06-14,2022,6,14
166,2022-06-15,2022,6,15
167,2022-06-16,2022,6,16
168,2022-06-17,2022,6,17
169,2022-06-18,2022,6,18
170,2022-06-19,2022,6,19
171,2022-06-20,2022,6,20
172,2022-06-21,2022,6,21
173,2022-06-22,2022,6,22
174,2022-06-23,2022,6,23
175,2022-06-24,2022,6,24
176,2022-06-25,2022,6,25
177,2022-06-26,2022,6,26
178,2022-06-27,2022,6,27
179,2022-06-28,2022,6,28
180,2022-06-29,2022,6,29
181,2022-06-30,2022,6,30
182,2022-07-01,2022,7,1
183,2022-07-02,2022,7,2
184,2022-07-03,2022,7,3
185,2022-07-04,2022,7,4
186,2022-07-05,2022,7,5
187,2022-07-06,2022,7,6
188,2022-07-07,2022,7,7
189,2022-07-08,2022,7,8
190,2022-07-09,2022,7,9
191,2022-07-10,2022,7,10
192,2022-07-11,2022,7,11
193,2022-07-12,2022,7,12
194,2022-07-13,2022,7,13
195,2022-07-14,2022,7,14
196,2022-07-15,2022,7,15
197,2022-07-16,2022,7,16
198,2022-07-17,2022,7,17
199,2022-07-18,2022,7,18
200,2022-07-19,2022,7,19
201,2022-07-20,2022,7,20
202,2022-07-21,2022,7,21
203,2022-07-22,2022,7,22
204,2022-07-23,2022,7,23
205,2022-07-24,2022,7,24
206,2022-07-25,2022,7,25
207,2022-07-26,2022,7,26
208,2022-07-27,2022,7,27
209,2022-07-28,2022,7,28
210,2022-07-29,2022,7,29
211,2022-07-30,2022,7,30
212,2022-07-31,2022,7,31
213,2022-08-01,2022,8,1
214,2022-08-02,2022,8,2
215,2022-08-03,2022,8,3
216,2022-08-04,2022,8,4
217,2022-08-05,2022,8,5
218,2022-08-06,2022,8,6
219,2022-08-07,2022,8,7
220,2022-08-08,2022,8,8
221,2022-08-09,2022,8,9
222,2022-08-10,2022,8,10
223,2022-08-11,2022,8,11
224,2022-08-12,2022,8,12
225,2022-08-13,2022,8,13
226,2022-08-14,2022,8,14
227,2022-08-15,2022,8,15
228,2022-08-16,2022,8,16
229,2022-08-17,2022,8,17
230,2022-08-18,2022,8,18
231,2022-08-19,2022,8,19
232,2022-08-20,2022,8,20
233,2022-08-21,2022,8,21
234,2022-08-22,2022,8,22
235,2022-08-23,2022,8,23
236,2022-08-24,2022,8,24
237,2022-08-25,2022,8,25
238,2022-08-26,2022,8,26
239,2022-08-27,2022,8,27
240,2022-08-28,2022,8,28
241,2022-08-29,2022,8,29
242,2022-08-30,2022,8,30
243,2022-08-31,2022,8,31
244,2022-09-01,2022,9,1
245,2022-09-02,2022,9,2
246,2022-09-03,2022,9,3
247,2022-09-04,2022,9,4
248,2022-09-05,2022,9,5
249,2022-09-06,2022,9,6
250,2022-09-07,2022,9,7
251,2022-09-08,2022,9,8
252,2022-09-09,2022,9,9
253,2022-09-10,2022,9,10
254,2022-09-11,2022,9,11
255,2022-09-12,2022,9,12
256,2022-09-13,2022,9,13
257,2022-09-14,2022,9,14
258,2022-09-15,2022,9,15
259,2022-09-16,2022,9,16
260,2022-09-17,2022,9,17
261,2022-09-18,2022,9,18
262,2022-09-19,2022,9,19
263,2022-09-20,2022,9,20
264,2022-09-21,2022,9,21
265,2022-09-22,2022,9,22
266,2022-09-23,2022,9,23
267,2022-09-24,2022,9,24
268,2022-09-25,2022,9,25
269,2022-09-26,2022,9,26
270,2022-09-27,2022,9,27
271,2022-09-28,2022,9,28
272,2022-09-29,2022,9,29
273,2022-09-30,2022,9,30
274,2022-10-01,2022,10,1
275,2022-10-02,2022,10,2
276,2022-10-03,2022,10,3
277,2022-10-04,2022,10,4
278,2022-10-05,2022,10,5
279,2022-10-06,2022,10,6
280,2022-10-07,2022,10,7
281,2022-10-08,2022,10,8
282,2022-10-09,2022,10,9
283,2022-10-10,2022,10,10
284,2022-10-11,2022,10,11
285,2022-10-12,2022,10,12
286,2022-10-13,2022,10,13
287,2022-10-14,2022,10,14
288,2022-10-15,2022,10,15
289,2022-10-16,2022,10,16
290,2022-10-17,2022,10,17
291,2022-10-18,2022,10,18
292,2022-10-19,2022,10,19
293,2022-10-20,2022,10,20
294,2022-10-21,2022,10,21
295,2022-10-22,2022,10,22
296,2022-10-23,2022,10,23
297,2022-10-24,2022,10,24
298,2022-10-25,2022,10,25
299,2022-10-26,2022,10,26
300,2022-10-27,2022,10,27
301,2022-10-28,2022,10,28
302,2022-10-29,2022,10,29
303,2022-10-30,2022,10,30
304,2022-10-31,2022,10,31
305,2022-11-01,2022,11,1
306,2022-11-02,2022,11,2
307,2022-11-03,2022,11,3
308,2022-11-04,2022,11,4
309,2022-11-05,2022,11,5
310,2022-11-06,2022,11,6
311,2022-11-07,2022,11,7
312,2022-11-08,2022,11,8
313,2022-11-09,2022,11,9
314,2022-11-10,2022,11,10
315,2022-11-11,2022,11,11
316,2022-11-12,2022,11,12
317,2022-11-13,2022,11,13
318,2022-11-14,2022,11,14
319,2022-11-15,2022,11,15
320,2022-11-16,2022,11,16
321,2022-11-17,2022,11,17
322,2022-11-18,2022,11,18
323,2022-11-19,2022,11,19
324,2022-11-20,2022,11,20
325,2022-11-21,2022,11,21
326,2022-11-22,2022,11,22
327,2022-11-23,2022,11,23
328,2022-11-24,2022,11,24
329,2022-11-25,2022,11,25
330,2022-11-26,2022,11,26
331,2022-11-27,2022,11,27
332,2022-11-28,2022,11,28
333,2022-11-29,2022,11,29
334,2022-11-30,2022,11,30
335,2022-12-01,2022,12,1
336,2022-12-02,2022,12,2
337,2022-12-03,2022,12,3
338,2022-12-04,2022,12,4
339,2022-12-05,2022,12,5
340,2022-12-06,2022,12,6
341,2022-12-07,2022,12,7
342,2022-12-08,2022,12,8
343,2022-12-09,2022,12,9
344,2022-12-10,2022,12,10
345,2022-12-11,2022,12,11
346,2022-12-12,2022,12,12
347,2022-12-13,2022,12,13
348,2022-12-14,2022,12,14
349,2022-12-15,2022,12,15
350,2022-12-16,2022,12,16
351,2022-12-17,2022,12,17
352,2022-12-18,2022,12,18
353,2022-12-19,2022,12,19
354,2022-12-20,2022,12,20
355,2022-12-21,2022,12,21
356,2022-12-22,2022,12,22
357,2022-12-23,2022,12,23
358,2022-12-24,2022,12,24
359,2022-12-25,2022,12,25
360,2022-12-26,2022,12,26
361,2022-12-27,2022,12,27
362,2022-12-28,2022,12,28
363,2022-12-29,2022,12,29
364,2022-12-30,2022,12,30
365,2022-12-31,2022,12,31
366,2022-12-31,2022,12,1
367,2022-12-31,2022,12,2
368,2022-12-31,2022,12,3
369,2022-12-31,2022,12,4
370,2022-12-31,2022,12,5
371,2022-12-31,2022,12,6
372,2022-12-31,2022,12,7
373,2022-12-31,2022,12,8
374,2022-12-31,2022,12,9
375,2022-12-31,2022,12,10
376,2022-12-31,2022,12,11
377,2022-12-31,2022,12,12
378,2022-12-31,2022,12,13
379,2022-12-31,2022,12,14
380,2022-12-31,2022,12,15
381,2022-12-31,2022,12,16
382,2022-12-31,2022,12,17
383,2022-12-31,2022,12,18
384,2022-12-31,2022,12,19
385,2022-12-31,2022,12,20
386,2022-12-31,2022,12,21
387,2022-12-31,2022,12,22
388,2022-12-31,2022,12,23
389,2022-12-31,2022,12,24
390,2022-12-31,2022,12,25
391,2022-12-31,2022,12,26
392,2022-12-31,2022,12,27
393,2022-12-31,2022,12,28
394,2022-12-31,2022,12,29
395,2022-12-31,2022,12,30
396,2022-12-31,2022,12,31
397,2022-12-31,2022,12,1
398,2022-12-31,2022,12,2
399,2022-12-31,2022,12,3
400,2022-12-31,2022,12,4
401,2022-12-31,2022,12,5
402,2022-12-31,2022,12,6
403,2022-12-31,2022,12,7
404,2022-12-31,2022,12,8
405,2022-12-31,2022,12,9
406,2022-12-31,2022,12,10
407,2022-12-31,2022,12,11
408,2022-12-31,2022,12,12
409,2022-12-31,2022,12,13
410,2022-12-31,2022,12,14
411,2022-12-31,2022,12,15
412,2022-12-31,2022,12,16
413,2022-12-31,2022,12,17
414,2022-12-31,2022,12,18
415,2022-12-31,2022,12,19
416,2022-12-31,2022,12,20
417,2022-12-31,2022,12,21
418,2022-12-31,2022,12,22
419,2022-12-31,2022,12,23
420,2022-12-31,2022,12,24
421,2022-12-31,2022,12,25
422,2022-12-31,2022,12,26
423,2022-12-31,2022,12,27
424,2022-12-31,2022,12,28
425,2022-12-31,2022,12,1
426,2022-12-31,2022,12,2
427,2022-12-31,2022,12,3
428,2022-12-31,2022,12,4
429,2022-12-31,2022,12,5
430,2022-12-31,2022,12,6
431,2022-12-31,2022,12,7
432,2022-12-31,2022,12,8
433,2022-12-31,2022,12,9
434,2022-12-31,2022,12,10
435,2022-12-31,2022,12,11
436,2022-12-31,2022,12,12
437,2022-12-31,2022,12,13
438,2022-12-31,2022,12,14
439,2022-12-31,2022,12,15
440,2022-12-31,2022,12,16
441,2022-12-31,2022,12,17
442,2022-12-31,2022,12,18
443,2022-12-31,2022,12,19
444,2022-12-31,2022,12,20
445,2022-12-31,2022,12,21
446,2022-12-31,2022,12,22
447,2022-12-31,2022,12,23
448,2022-12-31,2022,12,24
449,2022-12-31,2022,12,25
450,2022-12-31,2022,12,26
451,2022-12-31,2022,12,27
452,2022-12-31,2022,12,28
453,2022-12-31,2022,12,29
454,2022-12-31,2022,12,30
455,2022-12-31,2022,12,31
456,2022-12-31,2022,12,1
457,2022-12-31,2022,12,2
458,2022-12-31,2022,12,3
459,2022-12-31,2022,12,4
460,2022-12-31,2022,12,5
461,2022-12-31,2022,12,6
462,2022-12-31,2022,12,7
463,2022-12-31,2022,12,8
464,2022-12-31,2022,12,9
465,2022-12-31,2022,12,10
466,2022-12-31,2022,12,11
467,2022-12-31,2022,12,12
468,2022-12-31,2022,12,13
469,2022-12-31,2022,12,14
470,2022-12-31,2022,12,15
471,2022-12-31,2022,12,16
472,2022-12-31,2022,12,17
473,2022-12-31,2022,12,18
474,2022-12-31,2022,12,19
475,2022-12-31,2022,12,20
476,2022-12-31,2022,12,21
477,2022-12-31,2022,12,22
478,2022-12-31,2022,12,23
479,2022-12-31,2022,12,24
480,2022-12-31,2022,12,25
481,2022-12-31,2022,12,26
482,2022-12-31,2022,12,27
483,2022-12-31,2022,12,28
484,2022-12-31,2022,12,29
485,2022-12-31,2022,12,30
486,2022-12-31,2022,12,1
487,2022-12-31,2022,12,2
488,2022-12-31,2022,12,3
489,2022-12-31,2022,12,4
490,2022-12-31,2022,12,5
491,2022-12-31,2022,12,6
492,2022-12-31,2022,12,7
493,2022-12-31,2022,12,8
494,2022-12-31,2022,12,9
495,2022-12-31,2022,12,10
496,2022-12-31,2022,12,11
497,2022-12-31,2022,12,12
498,2022-12-31,2022,12,13
499,2022-12-31,2022,12,14
500,2022-12-31,2022,12,15
501,2022-12-31,2022,12,16
502,2022-12-31,2022,12,17
503,2022-12-31,2022,12,18
504,2022-12-31,2022,12,19
505,2022-12-31,2022,12,20
506,2022-12-31,2022,12,21
507,2022-12-31,2022,12,22
508,2022-12-31,2022,12,23
509,2022-12-31,2022,12,24
510,2022-12-31,2022,12,25
511,2022-12-31,2022,12,26
512,2022-12-31,2022,12,27
513,2022-12-31,2022,12,28
514,2022-12-31,2022,12,29
515,2022-12-31,2022,12,30
516,2022-12-31,2022,12,31
517,2022-12-31,2022,12,1
518,2022-12-31,2022,12,2
519,2022-12-31,2022,12,3
520,2022-12-31,2022,12,4
521,2022-12-31,2022,12,5
522,2022-12-31,2022,12,6
523,2022-12-31,2022,12,7
524,2022-12-31,2022,12,8
525,2022-12-31,2022,12,9
526,2022-12-31,2022,12,10
527,2022-12-31,2022,12,11
528,2022-12-31,2022,12,12
529,2022-12-31,2022,12,13
530,2022-12-31,2022,12,14
531,2022-12-31,2022,12,15
532,2022-12-31,2022,12,16
533,2022-12-31,2022,12,17
534,2022-12-31,2022,12,18
535,2022-12-31,2022,12,19
536,2022-12-31,2022,12,20
537,2022-12-31,2022,12,21
538,2022-12-31,2022,12,22
539,2022-12-31,2022,12,23
540,2022-12-31,2022,12,24
541,2022-12-31,2022,12,25
542,2022-12-31,2022,12,26
543,2022-12-31,2022,12,27
544,2022-12-31,2022,12,28
545,2022-12-31,2022,12,29
546,2022-12-31,2022,12,30
547,2022-12-31,2022,12,1
548,2022-12-31,2022,12,2
549,2022-12-31,2022,12,3
550,2022-12-31,2022,12,4
551,2022-12-31,2022,12,5
552,2022-12-31,2022,12,6
553,2022-12-31,2022,12,7
554,2022-12-31,2022,12,8
555,2022-12-31,2022,12,9
556,2022-12-31,2022,12,10
557,2022-12-31,2022,12,11
558,2022-12-31,2022,12,12
559,2022-12-31,2022,12,13
560,2022-12-31,2022,12,14
561,2022-12-31,2022,12,15
562,2022-12-31,2022,12,16
563,2022-12-31,2022,12,17
564,2022-12-31,2022,12,18
565,2022-12-31,2022,12,19
566,2022-12-31,2022,12,20
567,2022-12-31,2022,12,21
568,2022-12-31,2022,12,22
569,2022-12-31,2022,12,23
570,2022-12-31,2022,12,24
571,2022-12-31,2022,12,25
572,2022-12-31,2022,12,26
573,2022-12-31,2022,12,27
574,2022-12-31,2022,12,28
575,2022-12-31,2022,12,29
576,2022-12-31,2022,12,30
577,2022-12-31,2022,12,31
578,2022-12-31,2022,12,1
579,2022-12-31,2022,12,2
580,2022-12-31,2022,12,3
581,2022-12-31,2022,12,4
582,2022-12-31,2022,12,5
583,2022-12-31,2022,12,6
584,2022-12-31,2022,12,7
585,2022-12-31,2022,12,8
586,2022-12-31,2022,12,9
587,2022-12-31,2022,12,10
588,2022-12-31,2022,12,11
589,2022-12-31,2022,12,12
590,2022-12-31,2022,12,13
591,2022-12-31,2022,12,14
592,2022-12-31,2022,12,15
593,2022-12-31,2022,12,16
594,2022-12-31,2022,12,17
595,2022-12-31,2022,12,18
596,2022-12-31,2022,12,19
597,2022-12-31,2022,12,20
598,2022-12-31,2022,12,21
599,2022-12-31,2022,12,22
600,2022-12-31,2022,12,23
601,2022-12-31,2022,12,24
602,2022-12-31,2022,12,25
603,2022-12-31,2022,12,26
604,2022-12-31,2022,12,27
605,2022-12-31,2022,12,28
606,2022-12-31,2022,12,29
607,2022-12-31,2022,12,30
608,2022-12-31,2022,12,31
609,2022-12-31,2022,12,1
610,2022-12-31,2022,12,2
611,2022-12-31,2022,12,3
612,2022-12-31,2022,12,4
613,2022-12-31,2022,12,5
614,2022-12-31,2022,12,6
615,2022-12-31,2022,12,7
616,2022-12-31,2022,12,8
617,2022-12-31,2022,12,9
618,2022-12-31,2022,12,10
619,2022-12-31,2022,12,11
620,2022-12-31,2022,12,12
621,2022-12-31,2022,12,13
622,2022-12-31,2022,12,14
623,2022-12-31,2022,12,15
624,2022-12-31,2022,12,16
625,2022-12-31,2022,12,17
626,2022-12-31,2022,12,18
627,2022-12-31,2022,12,19
628,2022-12-31,2022,12,20
629,2022-12-31,2022,12,21
630,2022-12-31,2022,12,22
631,2022-12-31,2022,12,23
632,2022-12-31,2022,12,24
633,2022-12-31,2022,12,25
634,2022-12-31,2022,12,26
635,2022-12-31,2022,12,27
636,2022-12-31,2022,12,28
637,2022-12-31,2022,12,29
638,2022-12-31,2022,12,30
639,2022-12-31,2022,12,1
640,2022-12-31,2022,12,2
641,2022-12-31,2022,12,3
642,2022-12-31,2022,12,4
643,2022-12-31,2022,12,5
644,2022-12-31,2022,12,6
645,2022-12-31,2022,12,7
646,2022-12-31,2022,12,8
647,2022-12-31,2022,12,9
648,2022-12-31,2022,12,10
649,2022-12-31,2022,12,11
650,2022-12-31,2022,12,12
651,2022-12-31,2022,12,13
652,2022-12-31,2022,12,14
653,2022-12-31,2022,12,15
654,2022-12-31,2022,12,16
655,2022-12-31,2022,12,17
656,2022-12-31,2022,12,18
657,2022-12-31,2022,12,19
658,2022-12-31,2022,12,20
659,2022-12-31,2022,12,21
660,2022-12-31,2022,12,22
661,2022-12-31,2022,12,23
662,2022-12-31,2022,12,24
663,2022-12-31,2022,12,25
664,2022-12-31,2022,12,26
665,2022-12-31,2022,12,27
666,2022-12-31,2022,12,28
667,2022-12-31,2022,12,29
668,2022-12-31,2022,12,30
669,2022-12-31,2022,12,31
670,2022-12-31,2022,12,1
671,2022-12-31,2022,12,2
672,2022-12-31,2022,12,3
673,2022-12-31,2022,12,4
674,2022-12-31,2022,12,5
675,2022-12-31,2022,12,6
676,2022-12-31,2022,12,7
677,2022-12-31,2022,12,8
678,2022-12-31,2022,12,9
679,2022-12-31,2022,12,10
680,2022-12-31,2022,12,11
681,2022-12-31,2022,12,12
682,2022-12-31,2022,12,13
683,2022-12-31,2022,12,14
684,2022-12-31,2022,12,15
685,2022-12-31,2022,12,16
686,2022-12-31,2022,12,17
687,2022-12-31,2022,12,18
688,2022-12-31,2022,12,19
689,2022-12-31,2022,12,20
690,2022-12-31,2022,12,21
691,2022-12-31,2022,12,22
692,2022-12-31,2022,12,23
693,2022-12-31,2022,12,24
694,2022-12-31,2022,12,25
695,2022-12-31,2022,12,26
696,2022-12-31,2022,12,27
697,2022-12-31,2022,12,28
698,2022-12-31,2022,12,29
699,2022-12-31,2022,12,30
700,2022-12-31,2022,12,1
701,2022-12-31,2022,12,2
702,2022-12-31,2022,12,3
703,2022-12-31,2022,12,4
704,2022-12-31,2022,12,5
705,2022-12-31,2022,12,6
706,2022-12-31,2022,12,7
707,2022-12-31,2022,12,8
708,2022-12-31,2022,12,9
709,2022-12-31,2022,12,10
710,2022-12-31,2022,12,11
711,2022-12-31,2022,12,12
712,2022-12-31,2022,12,13
713,2022-12-31,2022,12,14
714,2022-12-31,2022,12,15
715,2022-12-31,2022,12,16
716,2022-12-31,2022,12,17
717,2022-12-31,2022,12,18
718,2022-12-31,2022,12,19
719,2022-12-31,2022,12,20
720,2022-12-31,2022,12,21
721,2022-12-31,2022,12,22
722,2022-12-31,2022,12,23
723,2022-12-31,2022,12,24
724,2022-12-31,2022,12,25
725,2022-12-31,2022,12,26
726,2022-12-31,2022,12,27
727,2022-12-31,2022,12,28
728,2022-12-31,2022,12,29
729,2022-12-31,2022,12,30
730,2022-12-31,2022,12,31
731,2022-12-31,2022,12,1
732,2022-12-31,2022,12,2
733,2022-12-31,2022,12,3
734,2022-12-31,2022,12,4
735,2022-12-31,2022,12,5
736,2022-12-31,2022,12,6
737,2022-12-31,2022,12,7
738,2022-12-31,2022,12,8
739,2022-12-31,2022,12,9
740,2022-12-31,2022,12,10
741,2022-12-31,2022,12,11
742,2022-12-31,2022,12,12
743,2022-12-31,2022,12,13
744,2022-12-31,2022,12,14
745,2022-12-31,2022,12,15
746,2022-12-31,2022,12,16
747,2022-12-31,2022,12,17
748,2022-12-31,2022,12,18
749,2022-12-31,2022,12,19
750,2022-12-31,2022,12,20
751,2022-12-31,2022,12,21
752,2022-12-31,2022,12,22
753,2022-12-31,2022,12,23
754,2022-12-31,2022,12,24
755,2022-12-31,2022,12,25
756,2022-12-31,2022,12,26
757,2022-12-31,2022,12,27
758,2022-12-31,2022,12,28
759,2022-12-31,2022,12,29
760,2022-12-31,2022,12,30
761,2022-12-31,2022,12,31
762,2022-12-31,2022,12,1
763,2022-12-31,2022,12,2
764,2022-12-31,2022,12,3
765,2022-12-31,2022,12,4
766,2022-12-31,2022,12,5
767,2022-12-31,2022,12,6
768,2022-12-31,2022,12,7
769,2022-12-31,2022,12,8
770,2022-12-31,2022,12,9
771,2022-12-31,2022,12,10
772,2022-12-31,2022,12,11
773,2022-12-31,2022,12,12
774,2022-12-31,2022,12,13
775,2022-12-31,2022,12,14
776,2022-12-31,2022,12,15
777,2022-12-31,2022,12,16
778,2022-12-31,2022,12,17
779,2022-12-31,2022,12,18
780,2022-12-31,2022,12,19
781,2022-12-31,2022,12,20
782,2022-12-31,2022,12,21
783,2022-12-31,2022,12,22
784,2022-12-31,2022,12,23
785,2022-12-31,2022,12,24
786,2022-12-31,2022,12,25
787,2022-12-31,2022,12,26
788,2022-12-31,2022,12,27
789,2022-12-31,2022,12,28
790,2022-12-31,2022,12,29
791,2022-12-31,2022,12,1
792,2022-12-31,2022,12,2
793,2022-12-31,2022,12,3
794,2022-12-31,2022,12,4
795,2022-12-31,2022,12,5
796,2022-12-31,2022,12,6
797,2022-12-31,2022,12,7
798,2022-12-31,2022,12,8
799,2022-12-31,2022,12,9
800,2022-12-31,2022,12,10
801,2022-12-31,2022,12,11
802,2022-12-31,2022,12,12
803,2022-12-31,2022,12,13
804,2022-12-31,2022,12,14
805,2022-12-31,2022,12,15
806,2022-12-31,2022,12,16
807,2022-12-31,2022,12,17
808,2022-12-31,2022,12,18
809,2022-12-31,2022,12,19
810,2022-12-31,2022,12,20
811,2022-12-31,2022,12,21
812,2022-12-31,2022,12,22
813,2022-12-31,2022,12,23
814,2022-12-31,2022,12,24
815,2022-12-31,2022,12,25
816,2022-12-31,2022,12,26
817,2022-12-31,2022,12,27
818,2022-12-31,2022,12,28
819,2022-12-31,2022,12,29
820,2022-12-31,2022,12,30
821,2022-12-31,2022,12,31
822,2022-12-31,2022,12,1
823,2022-12-31,2022,12,2
824,2022-12-31,2022,12,3
825,2022-12-31,2022,12,4
826,2022-12-31,2022,12,5
827,2022-12-31,2022,12,6
828,2022-12-31,2022,12,7
829,2022-12-31,2022,12,8
830,2022-12-31,2022,12,9
831,2022-12-31,2022,12,10
832,2022-12-31,2022,12,11
833,2022-12-31,2022,12,12
834,2022-12-31,2022,12,13
835,2022-12-31,2022,12,14
836,2022-12-31,2022,12,15
837,2022-12-31,2022,12,16
838,2022-12-31,2022,12,17
839,2022-12-31,2022,12,18
840,2022-12-31,2022,12,19
841,2022-12-31,2022,12,20
842,2022-12-31,2022,12,21
843,2022-12-31,2022,12,22
844,2022-12-31,2022,12,23
845,2022-12-31,2022,12,24
846,2022-12-31,2022,12,25
847,2022-12-31,2022,12,26
848,2022-12-31,2022,12,27
849,2022-12-31,2022,12,28
850,2022-12-31,2022,12,29
851,2022-12-31,2022,12,30
852,2022-12-31,2022,12,1
853,2022-12-31,2022,12,2
854,2022-12-31,2022,12,3
855,2022-12-31,2022,12,4
856,2022-12-31,2022,12,5
857,2022-12-31,2022,12,6
858,2022-12-31,2022,12,7
859,2022-12-31,2022,12,8
860,2022-12-31,2022,12,9
861,2022-12-31,2022,12,10
862,2022-12-31,2022,12,11
863,2022-12-31,2022,12,12
864,2022-12-31,2022,12,13
865,2022-12-31,2022,12,14
866,2022-12-31,2022,12,15
867,2022-12-31,2022,12,16
868,2022-12-31,2022,12,17
869,2022-12-31,2022,12,18
870,2022-12-31,2022,12,19
871,2022-12-31,2022,12,20
